,ID,well,campo,Socio,E_Brent,tipo_costo,P_D,FC_T
20,20,NW10NA,CANO_RONDON,con_socio,95,pesimista,0.2,"[Decimal('0'), Decimal('8051.9434'), Decimal('5840.4978'), Decimal('4954.3093'), Decimal('2447.9894'), Decimal('1228.2511'), Decimal('553.4659'), Decimal('278.5199'), Decimal('122.7579'), Decimal('-161.8537'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
21,21,NW10NA,CANO_RONDON,con_socio,45,pesimista,0.3,"[Decimal('0'), Decimal('3964.2696'), Decimal('1007.9043'), Decimal('2268.6082'), Decimal('1040.6386'), Decimal('438.9794'), Decimal('158.8866'), Decimal('-130.6897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
22,22,NW10NA,CANO_RONDON,con_socio,50,pesimista,0.3,"[Decimal('0'), Decimal('4373.7936'), Decimal('1689.6879'), Decimal('2602.4041'), Decimal('1212.0047'), Decimal('530.761'), Decimal('202.9599'), Decimal('-105.8016'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
23,23,NW10NA,CANO_RONDON,con_socio,60,pesimista,0.3,"[Decimal('0'), Decimal('5185.2754'), Decimal('2927.3793'), Decimal('3255.9289'), Decimal('1554.7369'), Decimal('714.3241'), Decimal('291.1064'), Decimal('115.7854'), Decimal('15.2103'), Decimal('-168.6893'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
24,24,NW10NA,CANO_RONDON,con_socio,70,pesimista,0.3,"[Decimal('0'), Decimal('6004.3234'), Decimal('3881.8764'), Decimal('3723.2432'), Decimal('1815.9775'), Decimal('889.7534'), Decimal('379.2529'), Decimal('165.5616'), Decimal('45.9382'), Decimal('-166.7363'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
25,25,NW10NA,CANO_RONDON,con_socio,80,pesimista,0.3,"[Decimal('0'), Decimal('6823.3714'), Decimal('4836.3735'), Decimal('4190.5575'), Decimal('2055.89'), Decimal('1018.2475'), Decimal('452.6227'), Decimal('215.3378'), Decimal('76.6661'), Decimal('-164.7833'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
26,26,NW10NA,CANO_RONDON,con_socio,90,pesimista,0.3,"[Decimal('0'), Decimal('7642.4194'), Decimal('5790.8706'), Decimal('4657.8718'), Decimal('2295.8026'), Decimal('1146.7417'), Decimal('514.3253'), Decimal('256.4173'), Decimal('107.3939'), Decimal('-162.8302'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
27,27,NW10NA,CANO_RONDON,con_socio,95,pesimista,0.3,"[Decimal('0'), Decimal('8051.9434'), Decimal('6268.1192'), Decimal('4891.5289'), Decimal('2415.7588'), Decimal('1210.9888'), Decimal('545.1766'), Decimal('273.839'), Decimal('122.7579'), Decimal('-161.8537'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
28,28,NW10NA,CANO_RONDON,con_socio,45,probable,0,"[Decimal('0'), Decimal('3964.2696'), Decimal('-1853.2213'), Decimal('2268.6082'), Decimal('1040.6386'), Decimal('438.9794'), Decimal('158.8866'), Decimal('-130.6897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
29,29,NW10NA,CANO_RONDON,con_socio,50,probable,0,"[Decimal('0'), Decimal('4373.7936'), Decimal('-1171.4376'), Decimal('2602.4041'), Decimal('1212.0047'), Decimal('530.761'), Decimal('202.9599'), Decimal('-105.8016'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
